id,username,email,role,manager,make,acceleration,top_speed,electric_range,total_power,total_torque,drive,battery_capacity,length,width,height,wheelbase,gross_vehicle_weight,max_payload,cargo_volume,seats,maintenance_cost,pincode,date,time,latitude,longitude,vehicle_status,battery_level,range
26,shree,shree@gmail.com,Driver,sriram,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2135.15,00753,2024-09-17,22:44:24,-38.614786,-153.329243,1,17,76.5
27,divya,divya@gmail.com,Driver,santhosh,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1596.03,16563,2024-07-09,04:36:53,-51.948095,-125.756669,1,19,85.5
28,manisha,manisha@gmail.com,Driver,santhosh,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1446.75,81410,2024-06-27,15:13:49,-83.579172,161.68257,1,55,233.75
29,teja,teja@gmail.com,Driver,sriram,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2169.96,81135,2024-04-30,09:07:23,2.162851,93.626341,0,65,315.25
30,ram,ram@gmail.com,Fleet Manager,harshithah,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1807.36,17605,2024-06-08,02:29:19,-39.084198,165.225962,1,53,238.5
31,sanasya,sanasya@gmail.com,Driver,sobika,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1340.81,45130,2024-06-09,09:38:38,55.100441,131.309254,1,23,111.55
32,akshaya,akshaya@gmail.com,Driver,santhosh,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1975.65,18210,2024-10-12,04:07:37,-23.305564,153.026545,0,10,46.0
33,mahitha,mahitha@gmail.com,Driver,santhosh,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1583.01,74120,2024-10-03,23:52:25,-64.500706,-30.871699,0,28,135.8
34,kruthika,kruthika@gmail.com,Driver,santhosh,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3161.59,94557,2024-03-31,21:22:37,-68.235613,-121.112272,1,15,67.5
35,abhishek,abhishek@gmail.com,Driver,sriram,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1984.81,72938,2024-10-13,16:43:55,65.024535,147.369314,1,33,148.5
36,shree,shree@gmail.com,Driver,santhosh,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4243.05,54537,2024-03-08,23:43:04,5.714658,-72.3349,1,94,432.4
37,divya,divya@gmail.com,Driver,jerlin,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4648.79,42253,2024-11-11,16:27:05,64.578688,7.110239,0,73,310.25
38,manisha,manisha@gmail.com,Driver,sriram,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2071.76,76573,2024-09-20,23:24:39,-43.336804,-16.184282,0,45,211.5
39,teja,teja@gmail.com,Driver,jerlin,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4841.05,65482,2024-06-18,08:56:28,-33.209842,165.238987,1,66,297.0
40,ram,ram@gmail.com,Fleet Manager,santhosh,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3291.35,18828,2024-09-19,22:09:14,86.646042,30.674576,0,81,380.7
41,sanasya,sanasya@gmail.com,Driver,sriram,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4023.12,84593,2024-03-16,10:50:17,12.413672,-83.181082,1,56,238.0
42,akshaya,akshaya@gmail.com,Driver,santhosh,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3658.81,25790,2024-09-03,22:56:31,71.395891,171.543621,1,5,23.0
43,mahitha,mahitha@gmail.com,Driver,harshithah,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3049.38,51119,2024-05-29,14:19:44,42.492478,-34.390537,1,29,130.5
44,kruthika,kruthika@gmail.com,Driver,harshithah,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3035.1,23964,2024-02-17,20:14:37,-40.757346,2.956767,0,53,238.5
45,abhishek,abhishek@gmail.com,Driver,jerlin,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3604.27,83431,2024-02-25,01:18:32,-42.993672,-124.450469,1,48,232.8
46,shree,shree@gmail.com,Driver,harshithah,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1459.15,54130,2024-03-17,16:18:53,-23.220957,-76.156119,0,62,291.4
47,divya,divya@gmail.com,Driver,santhosh,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3152.24,17308,2024-10-14,14:13:24,51.372907,103.501485,1,15,69.0
48,manisha,manisha@gmail.com,Driver,sriram,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1685.23,88375,2024-04-30,20:10:32,-55.278239,104.804968,1,36,169.2
49,teja,teja@gmail.com,Driver,sriram,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2884.89,73974,2024-04-19,16:40:59,-45.003373,-68.323187,0,34,144.5
50,ram,ram@gmail.com,Fleet Manager,harshithah,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3353.56,65560,2024-06-25,11:11:08,63.279008,86.517969,1,73,343.1
51,sanasya,sanasya@gmail.com,Driver,jerlin,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2210.17,01252,2024-09-26,19:35:26,-50.810963,-153.834277,0,39,175.5
52,akshaya,akshaya@gmail.com,Driver,harshithah,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1115.27,15620,2024-12-04,00:45:16,37.396789,-67.396987,0,69,293.25
53,mahitha,mahitha@gmail.com,Driver,sobika,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4689.86,59147,2024-05-25,20:09:51,87.413217,11.340057,0,14,59.5
54,kruthika,kruthika@gmail.com,Driver,sobika,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4931.49,99635,2024-09-13,09:03:35,56.768104,-26.349309,1,58,246.5
55,abhishek,abhishek@gmail.com,Driver,jerlin,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2748.66,74367,2024-04-19,19:26:18,-49.486146,106.99765,1,37,157.25
56,shree,shree@gmail.com,Driver,santhosh,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1482.42,99414,2024-01-08,16:39:45,7.524614,130.58201,0,36,174.6
57,divya,divya@gmail.com,Driver,harshithah,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1663.86,35415,2024-07-18,17:17:32,72.668529,-23.137656,1,71,344.35
58,manisha,manisha@gmail.com,Fleet Manager,jerlin,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1619.85,53293,2024-07-28,19:03:02,39.32218,-68.072515,1,64,300.8
59,teja,teja@gmail.com,Fleet Manager,santhosh,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2459.93,42171,2024-11-13,02:48:20,-21.578844,-137.244296,0,93,418.5
60,ram,ram@gmail.com,Fleet Manager,sobika,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1528.88,25309,2024-06-27,08:34:29,60.05482,-87.303177,1,12,58.2
61,sanasya,sanasya@gmail.com,Driver,santhosh,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2093.14,43862,2024-11-04,16:20:55,-14.41689,-146.828978,1,9,40.5
62,akshaya,akshaya@gmail.com,Fleet Manager,jerlin,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3405.01,31211,2024-09-28,02:22:28,66.965477,-58.146922,1,97,436.5
63,mahitha,mahitha@gmail.com,Driver,jerlin,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1630.1,27849,2024-11-19,05:30:57,62.125549,113.387968,1,69,317.4
64,kruthika,kruthika@gmail.com,Driver,sobika,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2890.17,37633,2024-02-07,05:00:29,30.766025,-21.662382,1,33,148.5
65,abhishek,abhishek@gmail.com,Driver,harshithah,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4396.87,32240,2024-07-11,00:38:36,20.590044,145.879636,0,76,342.0
66,shree,shree@gmail.com,Driver,santhosh,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3730.05,53834,2024-03-22,09:10:47,13.768599,-49.566824,1,77,346.5
67,divya,divya@gmail.com,Driver,harshithah,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2248.86,66923,2024-09-02,16:19:49,77.938483,-179.971441,0,52,252.2
68,manisha,manisha@gmail.com,Driver,sobika,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1118.04,38829,2024-06-09,23:14:05,-35.391743,-17.951081,0,66,303.6
69,teja,teja@gmail.com,Driver,jerlin,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1437.51,88750,2024-09-11,17:47:52,57.20574,-95.606672,0,46,216.2
70,ram,ram@gmail.com,Driver,sriram,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1888.46,25473,2024-01-02,02:37:55,-30.93203,-164.861356,0,11,50.6
71,sanasya,sanasya@gmail.com,Driver,santhosh,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1413.8,73492,2024-05-28,16:06:34,-76.834486,119.090342,0,43,197.8
72,akshaya,akshaya@gmail.com,Driver,sriram,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2291.49,84947,2024-07-16,19:44:20,8.739495,-172.342358,0,30,135.0
73,mahitha,mahitha@gmail.com,Driver,jerlin,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3233.87,58981,2024-09-02,02:44:42,-4.333493,92.504668,0,80,388.0
74,kruthika,kruthika@gmail.com,Driver,sriram,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1010.19,96261,2024-09-03,15:23:34,-65.895277,-122.594068,0,62,263.5
75,abhishek,abhishek@gmail.com,Fleet Manager,santhosh,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3667.96,06443,2024-09-08,08:00:21,-24.885493,20.428227,0,75,318.75
76,shree,shree@gmail.com,Driver,santhosh,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2877.81,02679,2024-10-17,13:21:14,46.640883,-40.126907,0,31,131.75
77,divya,divya@gmail.com,Driver,jerlin,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3473.7,31582,2024-06-17,00:02:43,14.22378,-77.543092,1,89,378.25
78,manisha,manisha@gmail.com,Driver,sriram,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1905.22,92281,2024-09-29,21:51:12,87.508688,-161.00359,0,10,46.0
79,teja,teja@gmail.com,Driver,santhosh,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4098.03,40207,2024-01-01,22:00:57,8.14231,-138.56062,0,47,227.95
80,ram,ram@gmail.com,Driver,santhosh,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3128.73,52830,2024-05-28,00:21:53,63.464915,-111.323586,0,84,386.4
81,sanasya,sanasya@gmail.com,Driver,sobika,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4133.12,37294,2024-05-21,23:41:49,-16.763402,134.878602,0,37,170.2
82,akshaya,akshaya@gmail.com,Fleet Manager,harshithah,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3584.21,25836,2024-05-22,10:45:44,4.295812,110.932852,0,74,333.0
83,mahitha,mahitha@gmail.com,Driver,sriram,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3409.76,17358,2024-05-17,15:29:25,74.479333,144.551177,1,85,361.25
84,kruthika,kruthika@gmail.com,Driver,jerlin,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4076.3,19367,2024-09-06,05:31:18,9.861988,31.348293,1,75,352.5
85,abhishek,abhishek@gmail.com,Driver,jerlin,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4636.5,88436,2024-03-18,12:21:47,-79.089969,92.837032,1,7,32.9
86,shree,shree@gmail.com,Driver,santhosh,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2927.38,01733,2024-11-22,07:43:13,-46.232943,134.453183,0,80,376.0
87,divya,divya@gmail.com,Fleet Manager,sobika,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1271.27,94439,2024-04-10,18:29:19,21.227677,57.058964,1,79,335.75
88,manisha,manisha@gmail.com,Driver,sriram,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3984.75,28543,2024-04-18,11:25:34,81.470994,-126.206457,1,52,221.0
89,teja,teja@gmail.com,Driver,harshithah,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3774.31,46247,2024-05-01,19:02:05,-47.207231,-103.890838,0,30,141.0
90,ram,ram@gmail.com,Driver,harshithah,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4116.79,05057,2024-10-18,11:23:46,41.528819,71.802785,1,23,105.8
91,sanasya,sanasya@gmail.com,Driver,santhosh,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2497.97,66991,2024-10-23,10:14:26,14.016267,-162.598762,0,56,238.0
92,akshaya,akshaya@gmail.com,Fleet Manager,santhosh,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2893.45,96144,2024-07-03,07:25:26,-12.683588,-88.72713,1,69,334.65
93,mahitha,mahitha@gmail.com,Driver,sriram,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1275.12,33177,2024-07-31,03:48:27,53.232831,131.90568,1,96,441.6
94,kruthika,kruthika@gmail.com,Driver,sriram,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3567.74,34029,2024-05-10,04:58:54,-1.961252,-57.862777,0,14,65.8
95,abhishek,abhishek@gmail.com,Fleet Manager,jerlin,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3071.2,31835,2024-11-12,01:45:09,-64.316496,-45.344047,0,34,164.9
96,shree,shree@gmail.com,Fleet Manager,jerlin,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1822.86,71913,2024-10-10,11:31:52,41.123143,143.656787,1,75,352.5
97,divya,divya@gmail.com,Fleet Manager,harshithah,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2754.72,94881,2024-11-16,00:28:45,9.253818,97.452236,1,4,19.4
98,manisha,manisha@gmail.com,Fleet Manager,sobika,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1049.25,60342,2024-11-08,11:56:55,-85.609765,-136.187562,0,99,455.4
99,teja,teja@gmail.com,Driver,harshithah,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4584.5,44678,2024-07-07,18:32:33,-53.509364,-31.47548,1,15,70.5
100,ram,ram@gmail.com,Fleet Manager,sobika,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3515.15,53191,2024-04-17,14:02:32,-22.818872,98.159702,1,84,378.0
101,sanasya,sanasya@gmail.com,Driver,jerlin,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2243.93,10616,2024-01-29,23:11:59,-34.931572,85.884041,0,16,77.6
102,akshaya,akshaya@gmail.com,Fleet Manager,harshithah,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3793.79,68061,2024-11-03,23:02:33,82.141016,-173.615594,1,92,423.2
103,mahitha,mahitha@gmail.com,Fleet Manager,sobika,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4846.42,86415,2024-03-14,10:56:13,-50.664648,-116.415014,0,28,126.0
104,kruthika,kruthika@gmail.com,Fleet Manager,sriram,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1208.61,17113,2024-10-27,11:02:49,-30.14048,125.061844,0,41,174.25
105,abhishek,abhishek@gmail.com,Driver,sobika,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3646.62,03886,2024-11-08,01:24:07,71.088615,-20.938965,1,39,183.3
106,shree,shree@gmail.com,Driver,jerlin,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1027.44,25078,2024-03-27,07:58:29,55.100099,168.647757,1,72,324.0
107,divya,divya@gmail.com,Driver,sriram,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1183.97,94868,2024-02-29,18:33:35,84.754305,158.608142,1,36,162.0
108,manisha,manisha@gmail.com,Driver,santhosh,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3412.64,02685,2024-04-18,23:46:50,78.699266,-135.706333,0,13,61.1
109,teja,teja@gmail.com,Driver,sriram,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2841.45,25431,2024-11-26,19:53:07,-1.314591,-38.141152,0,39,175.5
110,ram,ram@gmail.com,Driver,jerlin,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4588.22,75728,2024-09-27,00:43:00,14.48368,157.497368,0,3,12.75
111,sanasya,sanasya@gmail.com,Driver,harshithah,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1465.74,77905,2024-01-11,16:00:52,69.61159,92.538455,0,43,193.5
112,akshaya,akshaya@gmail.com,Driver,sobika,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2048.39,74751,2024-01-05,03:10:03,-12.943296,53.275353,1,89,400.5
113,mahitha,mahitha@gmail.com,Driver,harshithah,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4878.31,47397,2024-09-10,02:33:49,6.109154,-41.159704,1,10,42.5
114,kruthika,kruthika@gmail.com,Driver,harshithah,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4235.95,42558,2024-02-29,06:27:11,22.932855,-77.297732,0,88,404.8
115,abhishek,abhishek@gmail.com,Driver,sriram,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1533.96,94571,2024-02-05,10:43:23,50.559311,-36.423689,1,35,161.0
116,shree,shree@gmail.com,Driver,sriram,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2130.05,44583,2024-10-21,00:57:04,-62.645606,-178.639878,1,77,346.5
117,divya,divya@gmail.com,Fleet Manager,jerlin,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4510.29,16217,2024-04-25,19:20:00,36.641676,-69.303516,0,93,395.25
118,manisha,manisha@gmail.com,Driver,santhosh,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1498.5,08482,2024-08-23,22:11:47,54.300923,-164.600514,1,34,153.0
119,teja,teja@gmail.com,Driver,santhosh,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3889.32,49198,2024-04-11,23:54:14,50.781387,-18.190587,0,16,75.2
120,ram,ram@gmail.com,Driver,sobika,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3819.24,14938,2024-10-06,14:38:32,13.755167,66.365496,1,47,220.9
121,sanasya,sanasya@gmail.com,Driver,harshithah,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4442.61,44447,2024-11-15,12:01:54,24.642749,69.442652,0,78,366.6
122,akshaya,akshaya@gmail.com,Driver,harshithah,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2078.09,99340,2024-01-14,05:23:25,34.26744,-82.340112,1,25,117.5
