id,username,email,role,make,acceleration,top_speed,electric_range,total_power,total_torque,drive,battery_capacity,length,width,height,wheelbase,gross_vehicle_weight,max_payload,cargo_volume,seats,maintenance_cost,pincode,date,time,latitude,longitude,vehicle_status,battery_level,range
19,ythompson,ythompson@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4055.8,61971,2024-06-07,23:50:55,50.231951,-43.922549,0,94,432.4
20,heatherbryan,heatherbryan@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1876.92,16842,2024-06-24,13:17:49,87.05976,-164.171906,0,88,426.8
21,nwilliams,nwilliams@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4223.77,86375,2024-04-16,19:57:36,38.065096,62.87032,0,48,220.8
22,sheltonmadison,sheltonmadison@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2800.5,96022,2024-09-17,05:24:03,-37.243882,157.138767,0,83,390.1
23,evasquez,evasquez@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1168.99,78878,2024-02-27,12:35:46,-65.317115,152.516407,1,69,334.65
24,jamesthomas,jamesthomas@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3169.03,94322,2024-11-03,01:51:39,7.638011,-19.705109,0,87,369.75
25,reedamy,reedamy@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2582.99,58675,2024-09-26,10:43:24,-5.728443,36.82282,0,31,142.6
26,jasonturner,jasonturner@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3919.27,08059,2024-10-01,07:47:47,74.052599,106.514464,0,99,455.4
27,cynthia95,cynthia95@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1658.69,80968,2024-07-08,05:27:17,44.959694,16.990605,0,68,289.0
28,chelsea58,chelsea58@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4018.22,17088,2024-11-16,17:38:07,-4.946477,-129.97771,0,90,405.0
29,pjones,pjones@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2441.27,88306,2024-02-29,21:54:05,30.929507,109.040219,0,41,188.6
30,jessicascott,jessicascott@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2728.02,07742,2024-07-17,03:06:49,89.614118,131.486693,0,60,255.0
31,johnsoneric,johnsoneric@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4552.92,01300,2024-01-27,21:48:13,15.9289,-112.900219,1,69,317.4
32,qtucker,qtucker@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4861.71,33387,2024-09-28,03:01:25,26.777427,20.274143,0,36,165.6
33,hineskimberly,hineskimberly@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2095.5,85409,2024-11-18,02:19:20,27.94951,-66.06781,1,16,75.2
34,jonesshawn,jonesshawn@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3551.16,65044,2024-02-21,08:53:53,-76.905922,62.136241,0,41,192.7
35,vanessa03,vanessa03@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3292.0,44678,2024-08-03,05:05:52,-9.498258,-151.068653,1,4,18.0
36,xwilliams,xwilliams@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2946.26,42251,2024-10-13,18:54:19,9.353678,26.511771,0,82,369.0
37,angelacastro,angelacastro@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2435.75,15889,2024-01-13,17:23:23,0.509979,-117.509814,1,73,343.1
38,brandonelliott,brandonelliott@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2381.51,69394,2024-09-18,11:54:13,-9.429971,166.365508,0,3,13.8
39,brownnathan,brownnathan@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4306.4,75522,2024-07-27,17:58:05,-26.141736,9.446874,1,79,335.75
40,martinezalex,martinezalex@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1642.48,39165,2024-08-13,06:04:50,14.756762,-8.708827,1,11,53.35
41,shawnacarter,shawnacarter@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1714.44,74383,2024-02-18,12:00:14,24.861234,124.344948,1,24,102.0
42,jenkinsbrittany,jenkinsbrittany@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2336.1,52364,2024-06-02,04:56:05,-34.286124,-8.651387,1,64,272.0
43,ofisher,ofisher@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1006.69,47866,2024-07-29,09:35:44,73.880524,-178.18739,1,66,320.1
44,anthony18,anthony18@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3337.49,40552,2024-10-19,20:06:11,24.771379,86.879733,1,93,418.5
45,fperry,fperry@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4377.45,27127,2024-11-15,03:50:57,-11.082531,-31.99882,0,69,317.4
46,linda41,linda41@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3433.91,87010,2024-11-07,13:27:35,-71.558971,20.531776,1,100,485.0
47,bradleyjohn,bradleyjohn@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1701.98,79630,2024-10-13,17:13:58,-22.839605,-149.322703,1,56,257.6
48,danapearson,danapearson@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4762.73,16564,2024-05-01,16:31:22,74.080205,-66.990703,0,99,420.75
49,scunningham,scunningham@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3066.36,59339,2024-02-14,01:39:03,-29.404101,125.632669,1,96,441.6
50,christopherbest,christopherbest@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4450.57,25463,2024-10-19,00:24:40,-68.033517,-32.923498,0,47,216.2
51,jmcgrath,jmcgrath@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3636.38,47040,2024-05-09,18:26:48,-50.615708,151.044003,0,51,216.75
52,eedwards,eedwards@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4416.55,62529,2024-10-01,09:24:31,35.711555,-136.008481,1,65,305.5
53,zachary72,zachary72@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4776.18,25972,2024-07-18,19:22:55,54.19539,-11.831136,0,55,247.5
54,javier68,javier68@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1249.62,86703,2024-09-28,16:37:55,33.445513,-123.99966,1,54,243.0
55,dunlapbrett,dunlapbrett@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4678.49,51217,2024-11-22,06:29:56,33.601926,16.021627,1,31,142.6
56,carteradrienne,carteradrienne@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4534.42,04591,2024-08-17,15:51:37,39.240674,-20.829461,0,88,374.0
57,dwoods,dwoods@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4934.0,89712,2024-09-22,07:41:25,-31.644906,-24.53575,0,84,357.0
58,chavezjay,chavezjay@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2808.86,14754,2024-06-17,18:20:58,-49.259801,63.518814,1,98,460.6
59,rickywhitney,rickywhitney@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3347.22,47982,2024-01-10,00:28:05,86.253996,-63.29654,0,12,56.4
60,nathanmorales,nathanmorales@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1097.21,43577,2024-01-06,01:19:43,-0.372615,171.810107,0,95,403.75
61,ihall,ihall@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1607.55,62174,2024-03-30,09:08:38,5.493,-119.236045,1,82,369.0
62,michaelevans,michaelevans@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4863.1,90173,2024-08-18,17:50:39,-48.254625,94.993823,0,86,387.0
63,hurstkyle,hurstkyle@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3176.23,30882,2024-02-01,00:35:38,43.218417,-24.848503,1,50,212.5
64,codyholland,codyholland@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3042.49,17579,2024-08-16,05:59:40,6.610894,-40.735202,1,1,4.5
65,robertsanchez,robertsanchez@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3527.1,69919,2024-03-23,10:30:40,59.121489,-133.633691,1,31,142.6
66,bowmanjessica,bowmanjessica@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4921.97,17321,2024-11-20,23:23:47,29.526995,13.63915,0,95,437.0
67,ericafowler,ericafowler@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4236.76,62040,2024-05-21,08:25:46,44.472316,-142.177918,1,18,81.0
68,kennedycarlos,kennedycarlos@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3535.19,29214,2024-08-04,11:28:36,-51.164921,-99.313963,0,73,343.1
69,anthonywalton,anthonywalton@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1627.37,36732,2024-02-26,16:56:28,49.277443,-80.400214,0,49,208.25
70,pwilcox,pwilcox@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4582.33,61519,2024-02-12,05:12:38,-15.853703,-9.258183,0,15,70.5
71,ehoffman,ehoffman@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4789.5,47161,2024-06-29,16:39:40,-41.908735,-70.446334,0,50,212.5
72,bobbyharris,bobbyharris@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1739.27,12241,2024-03-10,16:11:46,57.918033,-161.333093,0,20,94.0
73,louis19,louis19@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1716.28,89544,2024-08-10,03:48:54,-64.297295,47.545089,0,36,153.0
74,sharihubbard,sharihubbard@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3490.81,22487,2024-04-17,08:42:34,-67.589235,-165.223019,1,26,117.0
75,hparker,hparker@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2288.24,37952,2024-01-02,21:35:29,72.198485,7.785814,1,34,159.8
76,carolynarroyo,carolynarroyo@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1210.99,55733,2024-08-13,11:28:27,3.921819,-152.161141,0,55,233.75
77,ecox,ecox@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4216.11,62799,2024-05-18,14:30:03,12.568919,167.652925,0,23,108.1
78,wevans,wevans@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1638.75,98317,2024-06-17,07:00:51,-17.090099,79.834566,1,55,247.5
79,isaiah55,isaiah55@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2413.77,60870,2024-04-04,08:24:37,54.101231,-120.005517,0,60,291.0
80,myersphillip,myersphillip@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3483.97,05505,2024-01-27,10:55:56,50.218967,178.412742,0,19,87.4
81,thomas37,thomas37@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2086.07,62691,2024-09-10,00:49:34,64.47452,-150.3338,0,25,106.25
82,richard55,richard55@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2625.61,28135,2024-02-07,12:22:24,14.1177,121.307601,1,27,124.2
83,nmurphy,nmurphy@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4814.91,36616,2024-01-20,14:42:27,13.155017,64.425395,0,100,450.0
84,schultzelizabeth,schultzelizabeth@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3578.38,51311,2024-03-23,02:39:31,57.155684,-123.023176,1,2,9.0
85,thomasvalerie,thomasvalerie@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2878.08,37318,2024-07-17,10:21:14,61.500507,-177.731834,0,91,441.35
86,brittanyunderwood,brittanyunderwood@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3575.06,93936,2024-07-25,04:24:18,64.675341,-127.001925,1,77,346.5
87,hillbenjamin,hillbenjamin@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3684.99,21503,2024-02-22,02:56:06,-86.232291,-91.810764,0,87,408.9
88,perrycharles,perrycharles@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1506.79,43939,2024-10-17,08:04:22,-37.718523,-155.282518,1,58,266.8
89,jeremygreen,jeremygreen@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1084.4,96397,2024-10-21,18:59:26,66.281233,-165.621087,0,44,206.8
90,martindaniel,martindaniel@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4469.91,37654,2024-05-03,16:51:45,-7.598866,141.481711,1,97,455.9
91,cbradley,cbradley@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2200.72,36791,2024-02-12,14:20:56,32.870275,-100.328418,0,85,399.5
92,hhughes,hhughes@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4923.78,23704,2024-04-08,18:01:13,-37.163491,-29.151625,1,36,162.0
93,jessicaholt,jessicaholt@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1622.57,92286,2024-02-17,02:43:55,-28.207339,1.564148,1,17,72.25
94,henry90,henry90@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1213.84,45281,2024-07-16,22:31:58,38.566608,-151.58643,0,26,119.6
95,cassidy62,cassidy62@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3837.65,47586,2024-01-19,16:44:54,74.150083,-53.042045,0,86,365.5
96,joann30,joann30@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1864.93,09217,2024-02-04,12:37:28,-31.507931,-65.423004,1,70,329.0
97,jennifer73,jennifer73@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3456.73,61437,2024-09-04,07:46:12,-81.693128,170.744448,0,20,97.0
98,anthony20,anthony20@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1558.24,11940,2024-07-27,14:24:38,-16.880962,-75.299994,0,65,299.0
99,sgutierrez,sgutierrez@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3381.85,91413,2024-05-30,16:56:47,1.054848,-130.94846,1,11,53.35
100,leslie82,leslie82@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4254.94,15221,2024-01-05,22:35:05,62.296038,131.622885,1,30,145.5
101,shauncannon,shauncannon@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4282.29,08877,2024-11-21,17:17:55,-37.465729,121.487239,1,72,331.2
102,david25,david25@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1595.45,04785,2024-08-30,07:10:17,39.692195,-174.558677,0,52,252.2
103,cameron12,cameron12@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2013.39,69754,2024-07-14,04:13:33,-24.58517,19.472327,1,100,470.0
104,rickeymorrison,rickeymorrison@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1701.32,98217,2024-03-09,15:01:51,77.264713,130.682909,0,9,43.65
105,amandabennett,amandabennett@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2312.27,59436,2024-10-30,16:52:18,-32.629833,13.041471,0,88,374.0
106,lawrence88,lawrence88@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1922.85,46274,2024-08-04,13:45:20,26.651769,46.374982,0,38,161.5
107,moorebrian,moorebrian@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3041.8,54822,2024-06-21,08:13:08,-27.015486,-145.334833,0,40,188.0
108,martinandrew,martinandrew@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3685.84,37512,2024-10-02,11:08:52,-26.911833,36.861781,1,62,291.4
109,ythompson,ythompson@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2683.08,23849,2024-03-07,06:54:35,-11.451372,126.779843,0,34,159.8
110,cindy89,cindy89@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3978.29,60389,2024-07-26,05:10:11,87.210293,1.465543,1,62,300.7
111,juanmiller,juanmiller@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4439.72,53765,2024-08-05,03:05:46,29.493894,3.285047,0,70,297.5
112,david12,david12@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4162.62,84591,2024-01-17,13:48:18,-36.692486,19.16826,0,56,257.6
113,hooperjessica,hooperjessica@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4155.76,63289,2024-01-19,03:06:19,-17.546813,-166.272803,1,29,133.4
114,desiree68,desiree68@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1259.79,59671,2024-09-25,05:47:47,43.30975,-68.118584,1,27,130.95
115,joshuaponce,joshuaponce@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4707.92,18166,2024-02-25,13:09:07,-24.804758,105.836382,0,1,4.5
116,mcfarlandmary,mcfarlandmary@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3145.06,24067,2024-10-19,15:16:05,1.156634,-167.00821,0,5,21.25
117,sandrasimmons,sandrasimmons@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3446.0,45141,2024-03-09,01:30:12,-70.826509,-152.333835,0,48,204.0
118,jimenezmartin,jimenezmartin@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3493.08,31968,2024-04-20,07:22:53,-29.002343,-70.655188,1,16,77.6
119,timothypatterson,timothypatterson@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2827.76,99161,2024-02-16,11:32:22,-52.116939,19.483314,1,20,92.0
120,ngeorge,ngeorge@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2043.32,44339,2024-02-09,14:54:52,-71.039159,-30.479253,1,61,259.25
